subject,t,depth,hrf
sub-001,10.605,1,0.76738269272387
sub-001,10.709999999999999,1,0.7946984654295843
sub-001,10.815,1,0.8206542603898447
sub-001,10.92,1,0.8451152562032598
sub-001,11.025,1,0.8679606195553449
sub-001,11.129999999999999,1,0.889084196732213
sub-001,11.235,1,0.9083949760160881
sub-001,11.34,1,0.925817305454
sub-001,11.445,1,0.9412909506830651
sub-001,11.549999999999999,1,0.9547709685297274
sub-001,11.655,1,0.9662273438646619
sub-001,11.76,1,0.9756444853775259
sub-001,11.865,1,0.9830206095076547
sub-001,11.969999999999999,1,0.9883670283947029
sub-001,12.075,1,0.9917073483188694
sub-001,12.18,1,0.9930765985880895
sub-001,12.285,1,0.9925203023059296
sub-001,12.389999999999999,1,0.9900934977513332
sub-001,12.495,1,0.9858597289967129
sub-001,12.6,1,0.9798900201951424
sub-001,12.705,1,0.97226185013254
sub-001,12.809999999999999,1,0.963058139372737
sub-001,12.915,1,0.9523662598317847
sub-001,13.02,1,0.9402770779415398
sub-001,13.125,1,0.9268840399237135
sub-001,13.229999999999999,1,0.9122823066407613
sub-001,13.334999999999999,1,0.8965679434914218
sub-001,13.44,1,0.8798371697440138
sub-001,13.545,1,0.8621856700818012
sub-001,13.65,1,0.843707969839453
sub-001,13.754999999999999,1,0.8244968746490446
sub-001,13.86,1,0.8046429741804557
sub-001,13.965,1,0.7842342089668737
sub-001,14.07,1,0.7633554985397962
sub-001,14.174999999999999,1,0.7420884284882444
sub-001,14.28,1,0.7205109936298582
sub-001,14.385,1,0.6986973941223075
sub-001,14.49,1,0.6767178810840676
sub-001,14.594999999999999,1,0.6546386481100752
sub-001,14.7,1,0.6325217649607562
sub-001,14.805,1,0.610425149656634
sub-001,14.91,1,0.5884025752202254
sub-001,15.014999999999999,1,0.5665037073649359
sub-001,15.12,1,0.544774169526251
sub-001,15.225,1,0.5232556317588272
sub-001,15.33,1,0.501985920176662
sub-001,15.434999999999999,1,0.4809991437870163
sub-001,15.54,1,0.4603258357571292
sub-001,15.645,1,0.43999310635113736
sub-001,15.75,1,0.42002480497908795
sub-001,15.854999999999999,1,0.4004416890069677
sub-001,15.959999999999999,1,0.38126159718333863
sub-001,16.064999999999998,1,0.36249962574198696
sub-001,16.169999999999998,1,0.34416830543885335
sub-001,16.275,1,0.3262777779737735
sub-001,16.38,1,0.3088359704318738
sub-001,16.485,1,0.29184876655479786
sub-001,16.59,1,0.27532017381754087
sub-001,16.695,1,0.2592524854420113
sub-001,16.8,1,0.24364643662321378
sub-001,16.905,1,0.22850135437800406
sub-001,17.009999999999998,1,0.2138153005497003
sub-001,17.115,1,0.1995852076146138
sub-001,17.22,1,0.18580700703895767
sub-001,17.325,1,0.17247575002698756
sub-001,17.43,1,0.1595857205839305
sub-001,17.535,1,0.14713054089077343
sub-001,17.64,1,0.13510326905271344
sub-001,17.745,1,0.12349648933956225
sub-001,17.849999999999998,1,0.11230239508512485
sub-001,17.955,1,0.10151286445408308
sub-001,18.06,1,0.09111952931971146
sub-001,18.165,1,0.08111383752436199
sub-001,18.27,1,0.07148710881757976
sub-001,18.375,1,0.06223058478445246
sub-001,18.48,1,0.05333547308981572
sub-001,18.585,1,0.04479298637272071
sub-001,18.689999999999998,1,0.03659437613052288
sub-001,18.794999999999998,1,0.028730961933516475
sub-001,18.9,1,0.021194156309597974
sub-001,19.005,1,0.013975485634361
sub-001,19.11,1,0.0070666073556642445
sub-001,19.215,1,0.00045932387337419657
sub-001,19.32,1,-0.005854406615005806
sub-001,19.425,1,-0.011882462003509587
sub-001,19.529999999999998,1,-0.017632550614889744
sub-001,19.634999999999998,1,-0.0231122077124482
sub-001,19.74,1,-0.02832879392726966
sub-001,19.845,1,-0.033289495356238735
sub-001,19.95,1,-0.0380013251011484
sub-001,20.055,1,-0.04247112603433572
sub-001,20.16,1,-0.04670557459140205
sub-001,20.265,1,-0.050711185406636265
sub-001,20.37,1,-0.054494316621588705
sub-001,20.474999999999998,1,-0.05806117571179867
sub-001,20.58,1,-0.06141782569085518
sub-001,20.685,1,-0.06457019156467614
sub-001,20.79,1,-0.06752406692212704
sub-001,20.895,1,-0.07028512056076366
sub-001,21.0,1,-0.07285890305855885
sub-001,21.105,1,-0.07525085321393632
sub-001,21.21,1,-0.07746630428724992
sub-001,21.314999999999998,1,-0.07951048998702082
sub-001,21.419999999999998,1,-0.08138855015372828
sub-001,21.525,1,-0.08310553610281324
sub-001,21.63,1,-0.08466641559670149
sub-001,21.735,1,-0.0860760774232054
sub-001,21.84,1,-0.08733933556451463
sub-001,21.945,1,-0.08846093294727055
sub-001,22.05,1,-0.08944554476984458
sub-001,22.154999999999998,1,-0.09029778140800379
sub-001,22.259999999999998,1,-0.09102219090465971
sub-001,22.365,1,-0.0916232610533262
sub-001,22.47,1,-0.09210542108837823
